autor	comentario	likes	date	PUBLICACION_CLEAN
Maria Parraga	Obviamente va leer y tu Chimpun también lees sabelotodo ajjjjj	0	2022-03-17T23:16:09Z	Obviamente va leer y tu Chimpun también lees sabelotodo ajjjjj
Gladys Alvarado	Pero no entiendo porque el presidente se rodea de tanto delincuente y porque miente tanto piensa que va a gobernar desde las provincias dando sus discursos de mal gusto	0	2022-03-17T23:15:10Z	Pero no entiendo porque el presidente se rodea de tanto delincuente y porque miente tanto piensa que va a gobernar desde las provincias dando sus discursos de mal gusto
Maria Parraga	Vamos a permitir? Oye Chimpun Callao que estás hablando ?? Tiene el derecho de ir cuando le da la gana donde le da la gana así que ubícate Joyita Chimpun	0	2022-03-17T23:12:08Z	Vamos a permitir? Oye Chimpun Callao que estás hablando ?? Tiene el derecho de ir cuando le da la gana donde le da la gana así que ubícate Joyita Chimpun
william quispe	del caso WILBUR CASTILLO NO HABLAS NO?	0	2022-03-17T21:08:33Z	del caso WILBUR CASTILLO NO HABLAS NO?
Maria Torres	Vacancia para su cerebro. Cómo es posible que le dan a esta corrupta	0	2022-03-17T18:02:50Z	Vacancia para su cerebro. Cómo es posible que le dan a esta corrupta
Fredy Huayhuacuri Ccolloccollo	Paty no hablas el retiro de la AFP fonavi,nada .	0	2022-03-17T15:29:33Z	Paty no hablas el retiro de la AFP fonavi,nada .
Fredy Huayhuacuri Ccolloccollo	2 tóxicas	0	2022-03-17T15:27:54Z	2 tóxicas
Juvenal Hurtado moreano	Señora mavila para que entrevistas a una prontouriada  no te embarres	0	2022-03-17T13:55:48Z	Señora mavila para que entrevistas a una prontouriada no te embarres
Sullca Romero	Viuda negra...	0	2022-03-17T11:37:29Z	Viuda negra...
michael	Esa mrda solo se dedica a j.der y cobrar no hace nada no presenta ningún proyecto de ley solo se dedica a j.der como lo hizo en la perla.	0	2022-03-17T10:13:51Z	Esa mrda solo se dedica a j.der y cobrar no hace nada no presenta ningún proyecto de ley solo se dedica a j.der como lo hizo en la perla.
Arias Ana	LADRON, CORRUPTO, MENTIROSO Y SINVERGUENZA.	0	2022-03-17T09:04:09Z	LADRON, CORRUPTO, MENTIROSO Y SINVERGUENZA.
Betty Huerta	CON QUE MORAL HABLA PATRICIA CHIRINOS SI ES IGUAL QUE LA LACRA DE SECUACES DE CASTILLO?	0	2022-03-17T08:31:11Z	CON QUE MORAL HABLA PATRICIA CHIRINOS SI ES IGUAL QUE LA LACRA DE SECUACES DE CASTILLO?
Gigantografias Cutervo	Patricia Chirinos: desde que esta en el congreso.. cuantos proyectos ya tienen aprobados ?	2	2022-03-17T03:22:44Z	Patricia Chirinos: desde que esta en el congreso.. cuantos proyectos ya tienen aprobados ?
Osckarim 1717	Pero que cara dura la Sra Chirinos, ella que estuvo cerca de corruptos, delincuentes ... el otro es un aprendiz, pero ella es una master de temas delincuenciales	0	2022-03-17T02:54:39Z	Pero que cara dura la Sra Chirinos, ella que estuvo cerca de corruptos, delincuentes ... el otro es un aprendiz, pero ella es una master de temas delincuenciales
Antonio Chavez	LA BRUTA...el día q hable pacho <br>Como sabe ella eso..???<br>Con tal de echar barro habla x hablar... VERGÜENZA NACIONAL	0	2022-03-17T02:41:11Z	LA día q hable pacho Como sabe ella eso..??? Con tal de echar barro habla x hablar... VERGÜENZA NACIONAL
Antonio Chavez	LA BRUTA...le hemos permitido q valla al congreso...Q CREE Q LO PUEDE IMPEDIR	0	2022-03-17T02:38:57Z	LA hemos permitido q valla al congreso...Q CREE Q LO PUEDE IMPEDIR
