autor	comentario	likes	date	PUBLICACION_CLEAN
Exitosa Noticias	"Exitosa Perú: La voz de los que no tienen voz<br>➡ <a href=""http://bit.ly/ExitosaNoticiasYouTube"">http://bit.ly/ExitosaNoticiasYouTube</a> ⬅<br>¡Mantente siempre informado activando la 🔔 de notificaciones!"	2	2022-03-15T16:08:27Z	Exitosa Perú: La voz de los que no tienen voz ➡  ⬅ ¡Mantente siempre informado activando la 🔔 de notificaciones!
Mary Palma	Vergüenza esta presentación.	0	2022-03-19T23:05:51Z	Vergüenza esta presentación.
Luis Avelino	Q VTV buenas	0	2022-03-17T02:09:58Z	Q VTV buenas
Anggelo Rodriguez	Estás defiendo a un inepto corrupto, abogado Pachas 🤦🏽‍♂️	0	2022-03-16T23:11:46Z	Estás defiendo a un inepto corrupto, abogado Pachas 🤦🏽‍♂️
ricks andy	Lo mejor seria marchar y que se vallan todos y todas y nuevas elecciones con gente nueva ya no los que postularon , ni en epocas pasadas	1	2022-03-16T21:53:33Z	Lo mejor seria marchar y que se vallan todos y todas y nuevas elecciones con gente nueva ya no los que postularon , ni en epocas pasadas
RICARDO Pérez	Lucar debés darte unas vacaciones tus preguntas. no tiene sentido o eres mermelero	0	2022-03-16T18:28:08Z	Lucar debés darte unas vacaciones tus preguntas. no tiene sentido o eres mermelero
Carmen Flores	Otro títere vendido.	0	2022-03-16T14:24:51Z	Otro títere vendido.
Paola Pingo	Está fuera se siii<br>Esta desquiciada  ?<br>Tanto se CREE ???	0	2022-03-16T14:22:22Z	Está fuera se siii Esta desquiciada ? Tanto se CREE ???
Neli Ari	Este abogado  es otro corrupto conpichado  de castillo	0	2022-03-16T13:30:59Z	Este abogado es otro corrupto conpichado de castillo
Marita Morillo	La malcriada tiene una lengua kilométrica y venenosa. Todo lo hace con el interés desmedido que tiene de llegar al Sillón Presidencial. Ella tiene que saber que  NO tiene  los requisitos que  los peruanos esperan. Ella llegó a ser congresista con 28:000. VOTOS. Además ella ha demostrado mucho despreció mucha discriminacion y odio por los pobres del Peru. Esta mujer no tiene legitimidad, el pueblo NO la quiere.<br>Pedro Castillo obtuvo  más de 8 millones de VOTOS. Los pobres del Peru y Dios pusieron a Pedro Castillo como Presidente del Peru para gobernar 5 años.	0	2022-03-16T09:38:46Z	La malcriada tiene una lengua kilométrica y venenosa. Todo lo hace con el interés desmedido que tiene de llegar al Sillón Presidencial. Ella tiene que saber que NO tiene los requisitos que los peruanos esperan. Ella llegó a ser congresista con 28:000. VOTOS. Además ella ha demostrado mucho despreció mucha discriminacion y odio por los pobres del Peru. Esta mujer no tiene legitimidad, el pueblo NO la quiere. Pedro Castillo obtuvo más de 8 millones de VOTOS. Los pobres del Peru y Dios pusieron a Pedro Castillo como Presidente del Peru para gobernar 5 años.
Julio Rojas de la cruz	NO DRAMATICE , MORDAZA ES LA QUE EL CASTILLO SE LA PONE CADA VEZ QUE DEBE EXPLICAR ALGO, Y POR ELLO CREA LAINNNECESARIA DUDA, CASTILLO PUEDE HABLAR TODO LO QUE QUIERA  LO DE ALVA ES UNA CONSULTA Y UNA SUGERENCIA.  YA SABEMOS QUE LADRON ES LADRON.	0	2022-03-16T02:24:12Z	NO DRAMATICE , MORDAZA ES LA QUE EL CASTILLO SE LA PONE CADA VEZ QUE DEBE EXPLICAR ALGO, Y POR ELLO CREA LAINNNECESARIA DUDA, CASTILLO PUEDE HABLAR TODO LO QUE QUIERA LO DE ALVA ES UNA CONSULTA Y UNA SUGERENCIA. YA SABEMOS QUE LADRON ES LADRON.
Pelayo Janampa	Que defienden a un presidente mentiroso  terruco corrupto que lleno el palacio con dele cuentes. La	0	2022-03-16T02:20:11Z	Que defienden a un presidente mentiroso terruco corrupto que lleno el palacio con dele cuentes. La
Manuel Nicho	Abogado si no tiene base para impedir que hable lo que le de la gana, entonces de que te preocupas ridículo	0	2022-03-16T02:18:12Z	Abogado si no tiene base para impedir que hable lo que le de la gana, entonces de que te preocupas ridículo
Mercedes Pinto Fachin	PACHAS ABOGADO DEL DIABLO!	0	2022-03-16T02:00:36Z	PACHAS ABOGADO DEL DIABLO!
MomentSad Mxmrkrke	Este bigote defiende a todo costa al asnillo	0	2022-03-16T01:14:24Z	Este bigote defiende a todo costa al asnillo
MomentSad Mxmrkrke	Este cara dura d abogados	0	2022-03-16T01:10:06Z	Este cara dura d abogados
Batidas Agueda	Lo harías linda presidente si cierras esa cloaca.	1	2022-03-16T00:40:13Z	Lo harías linda presidente si cierras esa cloaca.
azusena otoño salas	Este es otro corrupto igual que castillo cuanto le estaran pagando para defender a castillo corrupto y mentiroso vacsncia o carsel para castillo	0	2022-03-16T00:16:06Z	Este es otro corrupto igual que castillo cuanto le estaran pagando para defender a castillo corrupto y mentiroso vacsncia o carsel para castillo
PEDRO PORCEL	yo como ciudadano pido que se vayan todos. nuevas elecciones	1	2022-03-15T23:57:37Z	yo como ciudadano pido que se vayan todos. nuevas elecciones
Luis Palomino	Maria Alva nunca será Presidente!!	0	2022-03-15T21:52:33Z	Maria Alva nunca será Presidente!!
Neide Rubio	Nuestro apoyo al gobierno  ....el gobierno que  hable sin limitación.....No a la mordaza de unos golpistas traidores vende patria corruptos obstruccionistas....empezando de la presidenta del congreso Maria Alva racista clasistas fascista la tirana de Warmey....y su marido fujimorista defensores de la corrupción  ......Patria Chirinos Montoya  unos  sinvergüenzas....................el presidente  tiene  que  dar un mensaje a la nación  ....los  peruanos  tenemos que  saber  lo que  el gobierno  hace y lo va hacer  ...<br>Obras...<br>No a la mordaza  ....Maria Alva  golpistas  no tiene derecho  de amordazar al gobierno..	0	2022-03-15T21:50:30Z	Nuestro apoyo al gobierno gobierno que hable sin limitación.....No a la mordaza de unos golpistas traidores vende patria corruptos obstruccionistas....empezando de la presidenta del congreso Maria Alva racista clasistas fascista la tirana de Warmey....y su marido fujimorista defensores de la corrupción ......Patria Chirinos Montoya unos sinvergü presidente tiene que dar un mensaje a la nación  peruanos tenemos que saber lo que el gobierno hace y lo va hacer ... Obras... No a la mordaza ....Maria Alva golpistas no tiene derecho de amordazar al gobierno..
Bertha Rivera	Ciierra el Congreso	3	2022-03-15T21:48:48Z	Ciierra el Congreso
MonicaZar	Que le pregunten todo, de sus sobrinos de la corruptos y etcetc	2	2022-03-15T21:29:35Z	Que le pregunten todo, de sus sobrinos de la corruptos y etcetc
Lilian Dávila Rosales	La Contraloría por lo que se solo ve dinero mal encaminado pero acciones, normas no cumplidas etc creo  es el Ministerio Público.<br>Respecto a Bruno Pacheco queremos la verdad.Nrcesitamos la verdad CAIGA QUIEN CAIGA!! <br>POR ULTIMO CONOCIENDO LAS ACTITUDES DE KARELIN..EL BAÑO LA USO ELLA y dejó el dinero, PARA CONPROMETER ( cuanto dinero correrá debajo para sacar a Castillo), como muestra la fiestrcita ingenua que hizo para la hija del Presidente!! Karelin  CASI VIVIA EN Palacio para cumplir con su MAQUINACION Y BRUNO PUDO HABER CAIDO  de lo cual tengo mis dudas pues estimo que también es OTRA JOYITA!!!	0	2022-03-15T21:29:28Z	La Contraloría por lo que se solo ve dinero mal encaminado pero acciones, normas no cumplidas etc creo es el Ministerio Público. Respecto a Bruno Pacheco queremos la verdad.Nrcesitamos la verdad CAIGA QUIEN CAIGA!! POR ULTIMO CONOCIENDO LAS ACTITUDES DE KARELIN..EL BAÑO LA USO ELLA y dejó el dinero, PARA CONPROMETER ( cuanto dinero correrá debajo para sacar a Castillo), como muestra la fiestrcita ingenua que hizo para la hija del Presidente!! Karelin CASI VIVIA EN Palacio para cumplir con su MAQUINACION Y BRUNO PUDO HABER CAIDO de lo cual tengo mis dudas pues estimo que también es OTRA JOYITA!!!
MonicaZar	Entonces que le pregunten..que conteste	0	2022-03-15T21:28:15Z	Entonces que le conteste
Julia Arce	Y porque esperar hasta el 2026 psra investigar a castillo?  Debería ser &quot;investigado&quot; como todos los demas...	3	2022-03-15T21:28:06Z	Y porque esperar hasta el 2026 psra investigar a castillo? Debería ser &quot;investigado&quot; como todos los demas...
Francisco Vergara	Lucas   Soldado y Marioneta De La Mafia del Crimen Organizado	1	2022-03-15T21:23:34Z	Lucas Soldado y Marioneta De La Mafia del Crimen Organizado
Francisco Vergara	Lucas Racista. Lucas Menosprecio  Ala Mitad del Perú Como. Diciendo Públicamente Que Son Rojos y Cumunistas.   Lucas Ha Terruquiar A Medio Perú Por Eso Debe Estar En La Cárcel enpor traición ala   Patria	1	2022-03-15T21:22:30Z	Lucas Racista. Lucas Menosprecio Ala Mitad del Perú Como. Diciendo Públicamente Que Son Rojos y Cumunistas. Lucas Ha Terruquiar A Medio Perú Por Eso Debe Estar En La Cárcel enpor traición ala Patria
Francisco Vergara	A Lucas.  Reterlo Ahora Mismo porque está en Contra El PERU	3	2022-03-15T21:20:06Z	A Lucas. Reterlo Ahora Mismo porque está en Contra El PERU
Francisco Vergara	Lucas Fujimorista ala Carcel	2	2022-03-15T21:18:46Z	Lucas Fujimorista ala Carcel
ciriaco valero	abajo la PRENSA 🚮 VENDE HUMOS💪 Vamos Fuerza presidente Castillo 💪🇵🇪🇵🇪 🔥 Montoya dice la prioridad del congreso 🐀 🐀 es la VACANCIA antes de cualquier otro proyecto de ley en beneficio del Perú 🇵🇪♥️ 🇵🇪 y por eso lo tienen archivado los 20 proyectos del ejecutivo en favor del pueblo 🇵🇪	0	2022-03-15T21:18:25Z	abajo la PRENSA 🚮 VENDE HUMOS💪 Vamos Fuerza presidente Castillo 💪🇵🇪🇵🇪 🔥 Montoya dice la prioridad del congreso 🐀 🐀 es la VACANCIA antes de cualquier otro proyecto de ley en beneficio del Perú 🇵🇪♥️ 🇵🇪 y por eso lo tienen archivado los 20 proyectos del ejecutivo en favor del pueblo 🇵🇪
Francisco Vergara	Lucas. Ala Cárcel por Fujimori	1	2022-03-15T21:18:16Z	Lucas. Ala Cárcel por Fujimori
Lilian Dávila Rosales	Alva es muy fresca para pedir que no hable de defenderse entonces de qué va a hablar?QUE RIDICULA!...más aún le está de antemano limitando su derecho y esto es afectación a su integridad como persona debe de sancionarsele PENALMENTE POR INFLUIR  EN  SU DECLARACION QUE SE HA CREIDO SEMEJANTE INFELIZ!!!	4	2022-03-15T21:12:45Z	Alva es muy fresca para pedir que no hable de defenderse entonces de qué va a hablar?QUE RIDICULA!...más aún le está de antemano limitando su derecho y esto es afectación a su integridad como persona debe de sancionarsele PENALMENTE POR INFLUIR EN SU DECLARACION QUE SE HA CREIDO SEMEJANTE INFELIZ!!!
Valerio Montenegro	Los corruptos que han gobernado por mas 3 décadas que nos<br> han dejado un país en ruinas. ....quieren ahora retomar el gobierno ... compatriotas no permitamos que vuelvan a gobernar.	0	2022-03-15T21:10:55Z	Los corruptos que han gobernado por mas 3 décadas que nos han dejado un país en ruinas. ....quieren ahora retomar el gobierno ... compatriotas no permitamos que vuelvan a gobernar.
Agustina Ccorihuaman	muy bien que hable el presidente en el congreso para que se enteren todo el mundo todo los peruanos estaremos pendiente la sra.alba quiere tapar el sol con un dedo cierren el congreso no mas zánganos en el congreso	0	2022-03-15T21:06:14Z	muy bien que hable el presidente en el congreso para que se enteren todo el mundo todo los peruanos estaremos pendiente la quiere tapar el sol con un dedo cierren el congreso no mas zánganos en el congreso
Emiliano Evaristo Espinoza Mansilla	HOY 15 de MARZO en el CONGRESO el pueblo Peruano estará atento a las 5;:00 solamente al CANAL del Estado 7TV PERU BOYCOT a la TV MAFIOSA CAVERNARIA	0	2022-03-15T21:04:26Z	HOY 15 de MARZO en el CONGRESO el pueblo Peruano estará atento a las 5;:00 solamente al CANAL del Estado 7TV PERU BOYCOT a la TV MAFIOSA CAVERNARIA
Carlos Willis	No jodas pues Lucar , ya te rompieron la mano otra ves? El hombre lobo se mueve con aceite	2	2022-03-15T21:00:42Z	No jodas pues Lucar , ya te rompieron la mano otra ves? El hombre lobo se mueve con aceite
Willy Escobedo Zegarra	Castillo, es el peor gobierno en 200 años, es ignorante, limitado, pro terrorista, corrupto, mitómano, y mucho más, vacancia ya, 70% lo repudian, fuera Castillo y seguidores, que más pruebas?	0	2022-03-15T20:59:32Z	Castillo, es el peor gobierno en 200 años, es ignorante, limitado, pro terrorista, corrupto, mitómano, y mucho más, vacancia ya, 70% lo repudian, fuera Castillo y seguidores, que más pruebas?
DIOSA VIDAL	Si. Esperan agarra más poder.. eso lo que quiere tiempo.	0	2022-03-15T20:52:26Z	Si. Esperan agarra más poder.. eso lo que quiere tiempo.
Carlos Aponte	Que entrevista para patética...	0	2022-03-15T20:49:38Z	Que entrevista para patética...
Nancy Vega	Simplemente le sugirio que hable de la vacancia ya que este tema se tocara el 28 mas no le obligio no llorw abogado y esperemos que el presidente tambien no se victimice	1	2022-03-15T20:47:49Z	Simplemente le sugirio que hable de la vacancia ya que este tema se tocara el 28 mas no le obligio no llorw abogado y esperemos que el presidente tambien no se victimice
DIOSA VIDAL	FUERA CASTILLO...Dictador.	0	2022-03-15T20:47:29Z	FUERA CASTILLO...Dictador.
florencia santillan	sera mas de lo mismo ?   SE VICTIMIZARA ?  DIRA PUEBLO PUEBLO Y PUEBLO ?  HABLARA DE LOS 200 AÑOS ?    TERMINARA LA HISTORIA DEL POLLO ?	2	2022-03-15T20:43:54Z	sera mas de lo mismo ? SE VICTIMIZARA ? DIRA PUEBLO PUEBLO Y PUEBLO ? HABLARA DE LOS 200 AÑOS ? TERMINARA LA HISTORIA DEL POLLO ?
DIOSA VIDAL	Fuera castillo.. JUSTICIA. Que. Viva el Perú libre de la dictadura de su amigo íntimo maduro.	2	2022-03-15T20:43:29Z	Fuera castillo.. JUSTICIA. Que. Viva el Perú libre de la dictadura de su amigo íntimo maduro.
maryale flores	CASTILLO urgente RESTAURE la CONSTITUCIÓN de 1979 y este kongrenido queda NULO  y se recupera nuestra soberanía y se ANULA todos esos KONTRATOS LEY sin ningún COSTO y en Un Solo Día   <br>CASTILLO urgente tiene toda la facultad para RESTAURAR LA CONSTITUCIÓN DE 1979 y listo se van todos y gasta el fujimontesinista de VEKARRDE  bachiller que ni tiene nada de economista son sus perros del la narcotraficante de la kakaaaaaaaa	0	2022-03-15T20:32:08Z	CASTILLO urgente RESTAURE la CONSTITUCIÓN de 1979 y este kongrenido queda NULO y se recupera nuestra soberanía y se ANULA todos esos KONTRATOS LEY sin ningún COSTO y en Un Solo Día CASTILLO urgente tiene toda la facultad para RESTAURAR LA CONSTITUCIÓN DE 1979 y listo se van todos y gasta el fujimontesinista de VEKARRDE bachiller que ni tiene nada de economista son sus perros del la narcotraficante de la kakaaaaaaaa
AMADO PERÚ	Lucas es fujimorista y mermelero, un periodista que favorece a la DBA	0	2022-03-15T20:29:26Z	Lucas es fujimorista y mermelero, un periodista que favorece a la DBA
Dorca Osorio	Quien te cree Pacharaco.	0	2022-03-15T20:19:49Z	Quien te cree Pacharaco.
Raul TORRES	Retomar la CONSTITUCIÓN de 1979 sería la mejor SORPRESA.<br>MalcriALVA y la vulgar urraca del Callao, son RACISMO puro.	0	2022-03-15T20:09:39Z	Retomar la CONSTITUCIÓN de 1979 sería la mejor SORPRESA. MalcriALVA y la vulgar urraca del Callao, son RACISMO puro.
Eliades YngaHerrera	x q se tendría q obedecer a esta  mal llamada presidenta ella no edta en posecion de ordenar en su casa ordenara pero no al presidente mejor q ella sea la presidenta o ella q ordene q es lo q debe de hablar	0	2022-03-15T20:07:45Z	x q se tendría q obedecer a esta mal llamada presidenta ella no edta en posecion de ordenar en su casa ordenara pero no al presidente mejor q ella sea la presidenta o ella q ordene q es lo q debe de hablar
Amelia Lopez	Este abogado es su clon de Castillo , no tiene nada en la cabeza, pero si quiere decir algo el presidente puede hacerlo en cualquier momento no todavía en el congreso	9	2022-03-15T20:06:24Z	Este abogado es su clon de Castillo , no tiene nada en la cabeza, pero si quiere decir algo el presidente puede hacerlo en cualquier momento no todavía en el congreso
Elizabeth alicia Marcelo alderete	Para mi el presidente está en su derecho hablar y si la presidenta del congreso hace mordaza al presidente el pueblo le puede desaforar a todos los vacadores y no sólo eso le debemos quitar la nacionalidad peruana por que es una deshonrra por traición a la patria	3	2022-03-15T20:04:05Z	Para mi el presidente está en su derecho hablar y si la presidenta del congreso hace mordaza al presidente el pueblo le puede desaforar a todos los vacadores y no sólo eso le debemos quitar la nacionalidad peruana por que es una deshonrra por traición a la patria
Amelia Lopez	Lúcar y su Pinki defendiendo a castillo	0	2022-03-15T19:59:46Z	Lúcar y su Pinki defendiendo a castillo
Juanzito48	La Presidenta del congreso le ´pide al Presidente Castillo, que le informe de que va a tratar en su discurso. Ella excede en sus funciones  y su pedido, va contra la constitución a la que todos debemos cumplir. Se nota también que está mal asesorada.	4	2022-03-15T19:58:39Z	La Presidenta del congreso le ´pide al Presidente Castillo, que le informe de que va a tratar en su discurso. Ella excede en sus funciones y su pedido, va contra la constitución a la que todos debemos cumplir. Se nota también que está mal asesorada.
Pantera Rufo	Ojalá disuelva este congreso mafioso	0	2022-03-15T19:54:48Z	Ojalá disuelva este congreso mafioso
Carlos Alfonso Silva Del Valle	CASTILLO DEBE DAR SU MENSAJE DE PALACIO DE GOBIERNO Y MANDAR A LA JAULA A LAS HIENAS HAMBRIENTAS É IRRACIONALES.  ES UN DERECHO DEL PRESIDENTE.	4	2022-03-15T19:50:36Z	CASTILLO DEBE DAR SU MENSAJE DE PALACIO DE GOBIERNO Y MANDAR A LA JAULA A LAS HIENAS HAMBRIENTAS É IRRACIONALES. ES UN DERECHO DEL PRESIDENTE.
RODRIGO HERMOZA BAYONA	El pero si nuestro presidente no es nada transparente, mejor que se quede callado ya que no sabe decir nada relevante, solo sabe decir pueblo	1	2022-03-15T19:47:24Z	El pero si nuestro presidente no es nada transparente, mejor que se quede callado ya que no sabe decir nada relevante, solo sabe decir pueblo
Luciana Barriga	El país quiere escuchar lo que está haciendo o ha echo durante este desgobierno de 7 meses,lo que el ciudadano designado Presidente tiene una audiencia en el congreso para el caso de su vacancia, son bien pendeivis los de PL verdad 👍	6	2022-03-15T19:45:23Z	El país quiere escuchar lo que está haciendo o ha echo durante este desgobierno de 7 meses,lo que el ciudadano designado Presidente tiene una audiencia en el congreso para el caso de su vacancia, son bien pendeivis los de PL verdad 👍
Hilario Campos Valentín	CIERRE. DEL. CONGRESO SR  PRESIDENTE MÁS TARDE SERÁ PEOR. CIERRE DE UNA VEZ YA!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!	2	2022-03-15T19:40:56Z	CIERRE. DEL. CONGRESO SR PRESIDENTE MÁS TARDE SERÁ PEOR. CIERRE DE UNA VEZ YA!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
WALTER MENDOZA	La actitud anti democrática y anti constitucional de la peor presidente del congreso Maria Alva, de  APLICAR &quot;SU&quot; Ley MORDAZA DE  RESTRINGIR o LIMITAR LAS ACTIVIDADES Y EXPOSICIÓN DEL PRESIDENTE CONSTITUCIONAL DEL PERÚ ANTE EL PARLAMENTO NACIONAL QUE LE ES LEGAL Y LEGÍTIMO HACERLO SIN CORTAPISAS NI LÍMITES DE TIEMPO. ESA CARTA DONDE ARBITRARIA, TOTALITARIA E ILEGALMENTE RESTRINGE AL PRESIDENTE DEBE SER TOMADA CÓMO UN PRECEDENTE PARA CENSURAR A LA ALVA Y SACARLA DEL CONGRESO. Que, espera el abogado del presidente y de los procuradores del Estado peruano en ACTUAR??.	0	2022-03-15T19:29:29Z	La actitud anti democrática y anti constitucional de la peor presidente del congreso Maria Alva, de APLICAR &quot;SU&quot; Ley MORDAZA DE RESTRINGIR o LIMITAR LAS ACTIVIDADES Y EXPOSICIÓN DEL PRESIDENTE CONSTITUCIONAL DEL PERÚ ANTE EL PARLAMENTO NACIONAL QUE LE ES LEGAL Y LEGÍTIMO HACERLO SIN CORTAPISAS NI LÍMITES DE TIEMPO. ESA CARTA DONDE ARBITRARIA, TOTALITARIA E ILEGALMENTE RESTRINGE AL PRESIDENTE DEBE SER TOMADA CÓMO UN PRECEDENTE PARA CENSURAR A LA ALVA Y SACARLA DEL CONGRESO. Que, espera el abogado del presidente y de los procuradores del Estado peruano en ACTUAR??.
JEIL RODRIGUEZ SANCHEZ	El derecho a la defensa , al debido proceso y presunción de la inocencia es  constitucional nadie puede parametrar  al presidente  de la República. Peor una golpista como la presidenta del congreso obstruccionista a ultranza.	0	2022-03-15T19:21:23Z	El derecho a la defensa , al debido proceso y presunción de la inocencia es constitucional nadie puede parametrar al presidente de la República. Peor una golpista como la presidenta del congreso obstruccionista a ultranza.
Rosa Criollo Sudario	Calla abogado d corruptos y TERRORRISTAS .un .abogado d dinámico	0	2022-03-15T19:21:14Z	Calla abogado d corruptos y TERRORRISTAS .un .abogado d dinámico
Gina del Rosario Sanjinez Pilco	Asi es, dr. Aníbal, cómo es posible que una colaboradora eficaz, se le permita mellar el honor de las personas.	10	2022-03-15T19:14:04Z	Asi es, dr. Aníbal, cómo es posible que una colaboradora eficaz, se le permita mellar el honor de las personas.
daniel salas	todo lo que hable el payaso de Peter Castle, ¿hay que tomarlo como cierto? No. A los peruanos no se le convence con parloteo barato, sino hay pruebas no hay nada y castillo solo va ir a rebuznar y nada mas	0	2022-03-15T19:08:15Z	todo lo que hable el payaso de Peter Castle, ¿hay que tomarlo como cierto? No. A los peruanos no se le convence con parloteo barato, sino hay pruebas no hay nada y castillo solo va ir a rebuznar y nada mas
Juan carlos Dueñas mendoza	ese tinterillo es otro rebuznante	3	2022-03-15T18:57:15Z	ese tinterillo es otro rebuznante
Jorge Ayestas	7 meses de pérdida solo llegaron a robar y destruir el estado debería. Ser juzgados como traición a la patria a todos estos corruptos de castillo y toda su podrida compañía de partido	0	2022-03-15T18:56:13Z	7 meses de pérdida solo llegaron a robar y destruir el estado debería. Ser juzgados como traición a la patria a todos estos corruptos de castillo y toda su podrida compañía de partido
Juan Paniagua Sanchez	Sr.Castillo,como buen chotano, cierre el Congreso,ese nido deladrones,corruptos, sinverguenzas,comechados,mermeleros,vividores y oportunistas.-Has historia,el paìs le agradecerà.-Sea  valiente.	0	2022-03-15T18:55:12Z	Sr.Castillo,como buen chotano, cierre el Congreso,ese nido deladrones,corruptos, sinverguenzas,comechados,mermeleros,vividores y oportunistas.-Has historia,el paìs le agradecerà.-Sea valiente.
El Blog D'Cielo	Nicolás lucas no está ni con Dios ni con el Diablo es un convenido totalmente ......	0	2022-03-15T18:52:28Z	Nicolás lucas no está ni con Dios ni con el Diablo es un convenido totalmente ......
Eduardo Portugal	Tucar no olvides pasar tu RH, para que te pague PCM.	0	2022-03-15T18:51:31Z	Tucar no olvides pasar tu RH, para que te pague PCM.
Gladys Gomez	Sr. Lucar, como siempre usted es tan odioso e hipocrita	0	2022-03-15T18:51:27Z	Sr. Lucar, como siempre usted es tan odioso e hipocrita
El Blog D'Cielo	Osea el presidente quiere responder a toda las cuestiones y viene esa María Alva a pedir el tema a tratar de que es lo que el presidente va hablar??? Es enserio 😒😒😒 Dios mío .........estos congresista ya están provocando.	5	2022-03-15T18:48:56Z	Osea el presidente quiere responder a toda las cuestiones y viene esa María Alva a pedir el tema a tratar de que es lo que el presidente va hablar??? Es enserio 😒😒😒 Dios mío congresista ya están provocando.
Julio Nuñez huaman	Bravooo hoy se cierra el Congreso	5	2022-03-15T18:48:24Z	Bravooo hoy se cierra el Congreso
Carmen Fernandez Figueora	Igualito que Castillo CORRUPTO	2	2022-03-15T18:46:27Z	Igualito que Castillo CORRUPTO
alberto avalos	El congreso le está dando oportunidad que no la fregue más,  casa ves que habla este señor, habla piedras nomas	1	2022-03-15T18:44:09Z	El congreso le está dando oportunidad que no la fregue más, casa ves que habla este señor, habla piedras nomas
Carla t.	La señora está desubicada, ya creo  su mal es psicológico. Si la señora no lo deja pronunciarse, que abandone congreso y el mensaje lo haga desde palacio	9	2022-03-15T18:42:26Z	La señora está desubicada, ya creo su mal es psicológico. Si la señora no lo deja pronunciarse, que abandone congreso y el mensaje lo haga desde palacio
Pedro Garcia	Las personas cada día se vuelven mas torpes ,los abogados defienden por un fajo de billetes ,nada mas ej : un criminal asesino confeso tiene su abogado que lo defiende ,el Inepto Castillo ya tiene una fecha para que haga su descargo y defensa de todo los errores que cometio ,, desde la campaña por ejemplo ,en plena campaña sus familiares y allegados repartieron víveres en la sierra  y eso esta prohibido los dinamicos del centro financiaron su campaña y luego biene ,sus gabinetes senderistas nombramientos a dedo ,negociacion de cargos en las fuerzas del orden ,corrupcion con su comadre karelin López arreglos y visitas a escondidas ,camuflarse con gorro a la medida noche , ofreser territorio a Bolivia ,dar rienda a sus sobrinos paraque  aguen negocios ,darle a su testaferro Pacheco dinero para que se reparten después gastar dinero del estado en cualquier cosa ,ej:100,000 soles diarios de gasto y desestabilización de la economía nacional ,,, nadie tiene miedo a Castiburro sino que el caso vacancia ya tiene fecha ,, todo tiene su tiempo no puede mezclar las cosas ,como sombrero luminoso es un buen orador tiene para explicar sobre sus logros en 7meses y su plan de gobierno y planteamientos sobre la economía ,sobre los extranjeros ladrones en el Perú , como controlar la violencia la economía el hambre del pueblo y tantas otras cosas y el lunes 28 ya puede hablar de sus cochinadas que hace o negar y hacerse la víctima ,no me dejan robar o digo gobernar y la gente ciega lo va a creer aunque este con la panza vacía ,	0	2022-03-15T18:41:05Z	Las personas cada día se vuelven mas torpes ,los abogados defienden por un fajo de billetes ,nada mas ej : un criminal asesino confeso tiene su abogado que lo defiende ,el Inepto Castillo ya tiene una fecha para que haga su descargo y defensa de todo los errores que cometio ,, desde la campaña por ejemplo ,en plena campaña sus familiares y allegados repartieron víveres en la sierra y eso esta prohibido los dinamicos del centro financiaron su campaña y luego biene ,sus gabinetes senderistas nombramientos a dedo ,negociacion de cargos en las fuerzas del orden ,corrupcion con su comadre karelin López arreglos y visitas a escondidas ,camuflarse con gorro a la medida noche , ofreser territorio a Bolivia ,dar rienda a sus sobrinos paraque aguen negocios ,darle a su testaferro Pacheco dinero para que se reparten después gastar dinero del estado en cualquier cosa ,ej:100,000 soles diarios de gasto y desestabilización de la economía nacional ,,, nadie tiene miedo a Castiburro sino que el caso vacancia ya tiene fecha ,, todo tiene su tiempo no puede mezclar las cosas ,como sombrero luminoso es un buen orador tiene para explicar sobre sus logros en 7meses y su plan de gobierno y planteamientos sobre la economía ,sobre los extranjeros ladrones en el Perú , como controlar la violencia la economía el hambre del pueblo y tantas otras cosas y el lunes 28 ya puede hablar de sus cochinadas que hace o negar y hacerse la víctima ,no me dejan robar o digo gobernar y la gente ciega lo va a creer aunque este con la panza vacía ,
simon collatupa caceres	Presidente castillo puede decir de la vacancia ,por qué los peruanos queremos escuchar, presidente del congreso Alva son yanquis que quieren poder, rechazamos cierre de congreso primero que se vayan a sus casas solo ligislan leyes para los grandes y ricos los pueblos lucharemos ya es hora de levantarnos contra este congreso incapaces	0	2022-03-15T18:38:02Z	Presidente castillo puede decir de la vacancia ,por qué los peruanos queremos escuchar, presidente del congreso Alva son yanquis que quieren poder, rechazamos cierre de congreso primero que se vayan a sus casas solo ligislan leyes para los grandes y ricos los pueblos lucharemos ya es hora de levantarnos contra este congreso incapaces
Lucho Cordero	Sr.abogsdo del sr. Presidente ,el congreso democrático está en su derecho de limitar lo que quiere exponer el presidente en el Parlamento,eso no es un descampado ni chacra	3	2022-03-15T18:29:15Z	Sr.abogsdo del sr. Presidente ,el congreso democrático está en su derecho de limitar lo que quiere exponer el presidente en el Parlamento,eso no es un descampado ni chacra
Leónidas Zurita ruiz	Vacancia Urgente a la Abuela Maria del Carmen por Incapas de ser una Autoridad para el pueblo Peruano	9	2022-03-15T18:28:43Z	Vacancia Urgente a la Abuela Maria del Carmen por Incapas de ser una Autoridad para el pueblo Peruano
